C1	C2	C3	C4	C5	C6	C7	C8	C9	Tested_in_clustering	Cluster_control	Cluster_Exposure_P	Cluster_Exposure_Final
0610005C13Rik	8.21053570981131	30.7786932720797	23.9713014104874	13.5358342875411	28.2156451944599	14.9355031164057	29.6629673159042	9.20443577871211	14.6909591903059	100	4	1	1
0610009B22Rik	13.253498182307	21.9424270770543	18.0201651631778	12.0627062952693	20.191274687665	14.0536043887038	20.7069331018666	11.9649499244844	10.948002510785	100	2	9	9
0610010F05Rik	13.829052545896	20.0062467192887	17.7692314462613	10.1426161602767	14.581313280485	13.865710425243	16.3666623856198	11.9142140159656	9.03745427201499	100	9	9	9
0610012G03Rik	15.5454987461902	20.4664517000923	20.0911242499314	9.66072531160964	10.7631513688573	16.6747387804181	14.9532083008796	14.1676384136793	10.7391554361348	100	5	5	5
0610030E20Rik	2.46325941684818	27.1920264462574	16.8391342904208	15.1910902038687	34.1258814364085	6.66088163585496	30.0356092428384	2.37929984724605	11.1427346062625	100	8	8	8
0610031O16Rik	23.2788431867697	16.9933019331273	18.377701947885	13.872268962583	8.43722532951495	18.5953618409812	10.9159431519205	19.3827613939509	11.1411720021713	100	7	5	5
0610037L13Rik	11.6491835614717	14.8320248052792	10.0953350606801	12.1099787187329	20.0212127022423	7.88696756462268	16.27455709548	8.78636129578558	7.00780154622577	100	6	6	9
0610040B10Rik	20.7224788053764	12.288433916952	12.9446789873141	12.4951675225624	9.65040719539297	14.404210049371	9.19998457157434	16.6447439133898	8.61789155864648	100	9	9	9
0610040J01Rik	6.02192033286572	28.3605591351667	21.654211292324	12.3456344644374	27.7257557683765	12.7336915026145	28.1386048741018	7.14505872079132	13.3592384209883	100	1	1	1
0610043K17Rik	12.4912709043926	16.9757734880548	15.8990291415907	7.72944622513672	10.6715990041402	12.1127585818992	12.6848198708152	10.3048961896251	7.00120914725034	100	2	9	9
1010001N08Rik	15.1438953293808	18.9383527583697	17.1446564641237	10.8839423584707	15.0847527719983	14.2805089721109	15.882358443065	13.0283762908493	9.38648064832214	100	9	9	9
1110002L01Rik	9.52414688824715	30.4027953334767	26.002405935435	11.6653390724002	23.6184339887783	17.4426056357999	27.0490408102763	11.0193576860377	14.9495666297822	100	9	1	1
1110004F10Rik	5.74135269048312	38.8203244190216	34.7031339336343	9.28997250227908	24.3701406958364	22.7801984167913	32.4324132684483	10.7972927924154	18.1319344896865	100	1	1	1
1110008L16Rik	22.7057656705141	11.2437982234686	11.0147116480875	15.3815236955352	12.060553380026	13.4929704329421	9.4206782261464	17.4959792109602	8.66264614713527	100	2	9	9
1110008P14Rik	20.4490497831268	12.49523353274	10.7285169225414	14.7932275481208	16.2212775771243	12.9471834177188	12.8096422209741	16.1516390034664	8.7518812767676	100	9	9	9
1110012L19Rik	13.5374342145127	27.8537151465357	27.0294984602304	9.35723009268283	14.4912796520398	20.4170290701133	20.9704407971416	14.3655026992815	14.0457942162454	100	4	4	4
1110019D14Rik	18.3470786706726	18.465282132806	18.2263288579233	11.9443380245297	12.355117303225	16.9730958597252	14.5829762761631	16.461318614609	11.6357306093804	100	2	9	9
1110020A21Rik	18.4227647621711	15.3305870365686	14.658709597541	12.0062150818052	12.4923889507329	14.6303720770612	12.7793319999248	15.5460837638892	9.50929167030805	100	7	9	9
1110028F11Rik	3.67084450941053	34.4437596672179	27.0914626425866	11.8390232761291	29.185462305807	15.3635231963684	32.0532923521217	6.39457865299701	14.8243907922126	100	1	1	1
1110032A03Rik	12.0592211369788	15.8208792049192	13.3045116965011	9.34941566032291	14.9475758250177	10.7437718105744	14.5740011087127	9.98068845204978	7.42827337015003	100	3	9	9
1110038B12Rik	4.50185957728699	27.8625978092021	17.8639557675048	16.204551545159	34.8125192265571	8.2119651221261	31.0369586421182	4.32759904015521	12.8162582458053	100	1	1	1
1110038F14Rik	7.40256103890838	25.5772778237641	15.503069744053	17.760031901642	35.0379617895391	7.41018870148126	29.9464353772736	5.78517925046514	12.4933487607492	100	1	8	8
1110051M20Rik	3.49180913443653	31.6140889460106	24.3514224003686	11.2292476169079	28.1654422496793	13.7224768205661	29.9422128064922	5.76527252995214	13.1965759037026	100	1	1	1
1110059E24Rik	9.43987869675617	40.2138965995267	39.564802672305	7.59902866204196	17.394592071592	27.6055716532656	29.9128825318312	14.7939824059942	20.3497695420714	100	8	4	4
1110059G10Rik	22.5755658573316	14.2791829646052	15.3984285770651	13.4801599696558	8.98535031975267	16.6751282018441	9.8431270748834	18.4624074103552	9.98078749206555	100	9	9	9
1110065P20Rik	19.6573880554482	19.2371134468531	20.1938004572261	11.2864000617569	7.67300377639589	18.2094404230093	12.2315638179612	17.0033975995806	10.9379978341927	100	4	5	5
1190002N15Rik	21.4558823075102	11.4672430546258	10.6863667832028	14.5575693848478	13.2392593263255	12.7902313512623	10.1394358183368	16.4514022401946	7.86144209132881	100	7	9	9
1190005I06Rik	22.596317903378	9.16070082763898	5.91258054507991	18.4728013230615	21.1588458457738	10.5895324185532	13.1658040316262	16.8187795131378	8.27121853445824	100	2	3	3
1190007I07Rik	5.33122876967938	35.9780851649078	29.7003239080719	11.3870734975447	28.1015769829684	18.4876692683482	32.4951621922903	8.82824743569569	16.1984564744478	100	4	1	1
1300002E11Rik	18.3019300431801	16.0898991466196	14.145298292976	13.366885415851	16.6927939193479	14.2934203035458	15.3525648436917	15.3829975592738	9.94020655697254	100	9	9	9
1300017J02Rik	19.84532219784	8.96824941851882	5.06301311799957	17.0683918617704	20.8335764736796	8.5012753830955	13.0976769900712	14.3749817986555	7.32661837878402	100	9	3	3
1500011B03Rik	3.93534709341101	36.8050044548614	29.9436306425161	11.7417874784662	29.1768252109464	17.8411131533603	33.4687518375982	7.7154962096785	16.4442623788967	100	1	1	1
1500026H17Rik	10.9896297095107	19.5340311409325	15.3813038078089	10.761264192196	19.5070602200155	11.1508733194725	19.0862953350085	9.6217763676059	9.33342339319094	100	9	9	9
1600002K03Rik	10.2299280275636	27.5042411831607	23.7812841712602	10.7275886913316	21.0837553792342	16.7550747387825	24.0386452921655	11.1606365245094	12.9918060391911	100	9	1	4
1600012H06Rik	15.9826537091846	13.3167430946014	9.12909751034928	14.1925499475593	19.7649919017196	9.26156529998026	15.3434259127485	11.9699322125505	7.61114681355634	100	2	9	9
1600014C10Rik	19.6752318266413	10.5537509230193	4.36677872444442	19.7133734463498	26.714889363268	7.73784808077357	17.1780590032987	14.057818157853	8.41002036370497	100	3	3	3
1600020E01Rik	19.2821665011166	20.3859146671228	20.0509804429988	12.4090600036018	11.9475609710309	17.8750406479089	14.941355468677	16.6776577251296	11.1624454245225	100	7	9	9
1700001C19Rik	11.7381704685461	35.408665766367	35.0484849403137	8.33777971707304	14.5928012528508	25.3508192300826	25.6393945880064	15.2376237737693	18.0266042174093	100	4	4	4
1700001L05Rik	7.73943852750673	35.0521177389118	29.506473433023	11.6298092631282	26.6000355039884	19.0009594824827	31.4737899276325	10.3841939411005	16.6496179643425	100	8	1	1
1700007L15Rik	7.82935908193805	22.6633828310198	16.8014140485621	11.6444044827401	23.5173485537724	10.0587012515929	22.5885149696679	6.98927171952774	9.97200973064532	100	4	8	8
1700008J07Rik	9.01918816808897	16.9229917792302	13.3265378916451	9.04007478745918	16.1432049628237	8.64889181385756	15.5065035786308	7.11358427337664	6.80808738892958	100	9	9	9
