	BPA10mg	BPA10ug	DEHP	Pb	PM2.5_Chi	TBT
F_1	0.211813842	0.228520286	0.353221957	0.37947494	0.252983294	0.240453461
F_2	0.56993007	0.432400932	0.466200466	0.531468531	0.351981352	0.367132867
F_3	0.373146972	0.30961457	0.343498518	0.319356205	0.332062685	0.257094452
F_4	0.473469388	0.392857143	0.607142857	0.551020408	0.504081633	0.384693878
F_5	0.265927978	0.387811634	0.460757156	0.543859649	0.431209603	0.320406279
F_6	0.416544656	0.386530015	0.305270864	0.513909224	0.52489019	0.409224012
F_7	0.413001912	0.449330784	0.355640535	0.512428298	0.426386233	0.342256214
F_8	0.409728718	0.458372311	0.391955098	0.478952292	0.44059869	0.382600561
F_9	0.50102417	0.555510037	0.448176977	0.408848832	0.312576813	0.390823433
M_1	0.216877637	0.273417722	0.411392405	0.476793249	0.375949367	0.394936709
M_2	0.589686099	0.484304933	0.835575486	0.770553064	0.41180867	0.284753363
M_3	0.4375	0.228966346	0.596754808	0.557091346	0.321514423	0.318509615
M_4	0.449339207	0.528634361	0.878120411	0.901615272	0.666666667	0.546255507
M_5	0.651465798	0.560260586	0.853420195	0.915309446	0.25732899	0.602605863
M_6	0.478114478	0.28956229	0.477441077	0.647811448	0.382491582	0.443771044
M_7	0.603107345	0.475988701	0.748587571	0.810734463	0.233050847	0.423728814
M_8	0.367219917	0.349930844	0.497925311	0.538035961	0.378976487	0.392116183
M_9	0.492190212	0.515446026	0.605345366	0.635890316	0.552238806	0.56334606
