Count	Direction	Type	Exp	Sex	Group
46	up-specific	DEG	TCDD	F	up
116	up-share	DEG	TCDD	F	up
3	down-specific	DEG	TCDD	F	down
12	down-share	DEG	TCDD	F	down
937	up-specific	DEG	BPA10mg	F	up
488	up-share	DEG	BPA10mg	F	up
477	down-specific	DEG	BPA10mg	F	down
1203	down-share	DEG	BPA10mg	F	down
50	up-specific	DEG	BPA10ug	F	up
141	up-share	DEG	BPA10ug	F	up
74	down-specific	DEG	BPA10ug	F	down
879	down-share	DEG	BPA10ug	F	down
475	up-specific	DEG	PM2.5-JHU	F	up
1178	up-share	DEG	PM2.5-JHU	F	up
417	down-specific	DEG	PM2.5-JHU	F	down
406	down-share	DEG	PM2.5-JHU	F	down
7	up-specific	DEG	Pb	F	up
38	up-share	DEG	Pb	F	up
6	down-specific	DEG	Pb	F	down
21	down-share	DEG	Pb	F	down
3	up-specific	DEG	DEHP	F	up
27	up-share	DEG	DEHP	F	up
0	down-specific	DEG	DEHP	F	down
6	down-share	DEG	DEHP	F	down
19	up-specific	DEG	PM2.5-CHI	F	up
12	up-share	DEG	PM2.5-CHI	F	up
7	down-specific	DEG	PM2.5-CHI	F	down
23	down-share	DEG	PM2.5-CHI	F	down
68	up-specific	DEG	As	F	up
182	up-share	DEG	As	F	up
34	down-specific	DEG	As	F	down
77	down-share	DEG	As	F	down
403	up-specific	DEG	TBT	F	up
232	up-share	DEG	TBT	F	up
296	down-specific	DEG	TBT	F	down
394	down-share	DEG	TBT	F	down
13	up-specific	DEG	TCDD	M	up
19	up-share	DEG	TCDD	M	up
11	down-specific	DEG	TCDD	M	down
48	down-share	DEG	TCDD	M	down
238	up-specific	DEG	BPA10mg	M	up
243	up-share	DEG	BPA10mg	M	up
54	down-specific	DEG	BPA10mg	M	down
188	down-share	DEG	BPA10mg	M	down
35	up-specific	DEG	BPA10ug	M	up
223	up-share	DEG	BPA10ug	M	up
45	down-specific	DEG	BPA10ug	M	down
91	down-share	DEG	BPA10ug	M	down
637	up-specific	DEG	PM2.5-JHU	M	up
589	up-share	DEG	PM2.5-JHU	M	up
651	down-specific	DEG	PM2.5-JHU	M	down
863	down-share	DEG	PM2.5-JHU	M	down
22	up-specific	DEG	Pb	M	up
38	up-share	DEG	Pb	M	up
33	down-specific	DEG	Pb	M	down
97	down-share	DEG	Pb	M	down
16	up-specific	DEG	DEHP	M	up
28	up-share	DEG	DEHP	M	up
4	down-specific	DEG	DEHP	M	down
24	down-share	DEG	DEHP	M	down
243	up-specific	DEG	PM2.5-CHI	M	up
278	up-share	DEG	PM2.5-CHI	M	up
156	down-specific	DEG	PM2.5-CHI	M	down
453	down-share	DEG	PM2.5-CHI	M	down
164	up-specific	DEG	As	M	up
210	up-share	DEG	As	M	up
209	down-specific	DEG	As	M	down
324	down-share	DEG	As	M	down
328	up-specific	DEG	TBT	M	up
289	up-share	DEG	TBT	M	up
430	down-specific	DEG	TBT	M	down
779	down-share	DEG	TBT	M	down
373	up-specific	DAR	TCDD	F	up
413	up-share	DAR	TCDD	F	up
440	down-specific	DAR	TCDD	F	down
218	down-share	DAR	TCDD	F	down
290	up-specific	DAR	BPA10mg	F	up
1543	up-share	DAR	BPA10mg	F	up
1226	down-specific	DAR	BPA10mg	F	down
1018	down-share	DAR	BPA10mg	F	down
591	up-specific	DAR	BPA10ug	F	up
681	up-share	DAR	BPA10ug	F	up
1282	down-specific	DAR	BPA10ug	F	down
1209	down-share	DAR	BPA10ug	F	down
413	up-specific	DAR	PM2.5-JHU	F	up
212	up-share	DAR	PM2.5-JHU	F	up
69	down-specific	DAR	PM2.5-JHU	F	down
57	down-share	DAR	PM2.5-JHU	F	down
13	up-specific	DAR	DEHP	F	up
16	up-share	DAR	DEHP	F	up
67	down-specific	DAR	DEHP	F	down
46	down-share	DAR	DEHP	F	down
45	up-specific	DAR	Pb	F	up
25	up-share	DAR	Pb	F	up
7	down-specific	DAR	Pb	F	down
21	down-share	DAR	Pb	F	down
5713	up-specific	DAR	PM2.5-CHI	F	up
1067	up-share	DAR	PM2.5-CHI	F	up
3333	down-specific	DAR	PM2.5-CHI	F	down
