AL_TCDD_F_Bl_adt	BA_BPA10mg_F_Bl_adt	BA_BPA10ug_F_Bl_adt	BI_PM2.5_F_Bl_adt	DO_Pb_F_Bl_adt	DO_DEHP_F_Bl_adt	MU_PM2.5_F_Bl_adt	ZB_As_F_Bl_adt	WK_TBT_F_Bl_adt
Sema4g	0	0	0	0	0	0	0	0	2.02796528736911
Gm17354	0	0	0	0	0	0	0	0	2.02745489190561
Gm43857	0	0	0	0	0	0	0	0	1.88205083148329
Azgp1	0	0	0	0	0	0	0	0	1.84571960533417
mt-Nd5	0	0	0	0	0	0	0	0	1.80307031857064
Gm44861	0	0	0	0	0	0	0	0	1.70134210699166
Siglec1	0	0	0	0	0	0	0	0	1.65018965669797
Abcc2	0	0	0	0	0	0	0	0	1.61320065120457
Hoxa4	0	0	0	0	0	0	0	0	1.59125309601654
Gm45191	0	0	0	0	0	0	0	0	1.56457652833737
Cyp3a11	0	0	0	0	0	0	0	0	1.51490437031997
mt-Nd4	0	0	0	0	0	0	0	0	1.51047432594307
Bahcc1	0	0	0	0	0	0	0	0	1.48757711442421
Fmn1	0	0	0	0	0	0	0	0	1.47768287999601
Plg	0	0	0	0	0	0	0	0	1.47273534972043
mt-Cytb	0	0	0	0	0	0	0	0	1.46738155724361
Gprc5c	0	0	0	0	0	0	0	0	1.44571769396399
CT009715.1	0	0	0	0	0	0	0	0	1.44420315315062
Tmtc1	0	0	0	0	0	0	0	0	1.4185975782527
Serpina1a	0	0	0	0	0	0	0	0	1.41442417126803
Gm43290	0	0	0	0	0	0	0	0	1.41421947179457
Apoa5	0	0	0	0	0	0	0	0	1.4006002957114
Serpinf2	0	0	0	0	0	0	0	0	1.39433741337569
Serpinc1	0	0	0	0	0	0	0	0	1.38779698949549
Lcat	0	0	0	0	0	0	0	0	1.36407977896915
Gm8738	0	0	0	0	0	0	0	0	1.35374474128819
Gm7666	0	0	0	0	0	0	0	0	1.35140054289701
Orm1	0	0	0	0	0	0	0	0	1.34763865224812
Serping1	0	0	0	0	0	0	0	0	1.33091131816629
Pex11a	0	0	0	0	0	0	0	0	1.32652237772836
Itih2	0	0	0	0	0	0	0	0	1.3228246119597
Tubb4a	0	0	0	0	0	0	0	0	1.31285284839922
Gm43071	0	0	0	0	0	0	0	0	1.2952836106576
Arg1	0	0	0	0	0	0	0	0	1.28721678499092
5430437J10Rik	0	0	0	0	0	0	0	0	1.27111461781919
Atf7	0	0	0	0	0	0	0	0	1.26832024603707
Apoc3	0	0	0	0	0	0	0	0	1.25437017306658
Scn8a	0	0	0	0	0	0	0	0	1.25065223843475
Hsd3b7	0	0	0	0	0	0	0	0	1.23830534297437
4930518I15Rik	0	0	0	0	0	0	0	0	1.23386278568216
Gm44423	0	0	0	0	0	0	0	0	1.22761181375931
Gm11344	0	0	0	0	0	0	0	0	1.21445954523607
mt-Nd1	0	0	0	0	0	0	0	0	1.20839409454829
Ccdc122	0	0	0	0	0	0	0	0	1.20801467975861
Gm42819	0	0	0	0	0	0	0	0	1.19860694953954
Gm37607	0	0	0	0	0	0	0	0	1.18684657981937
Gnmt	0	0	0	0	0	0	0	0	1.18644223299956
Cdk14	0	0	0	0	0	0	0	0	1.18579474576114
Acvr1	0	0	0	0	0	0	0	0	1.17344088989179
Tcf7l2	0	0	0	0	0	0	0	0	1.16966991977131
Ifi207	0	0	0	0	0	0	0	0	1.16105400786206
Gm42798	0	0	0	0	0	0	0	0	1.15876482805251
Tmc7	0	0	0	0	0	0	0	0	1.15489004856246
Gm10388	0	0	0	0	0	0	0	0	1.1537647490346
Gm42658	0	0	0	0	0	0	0	0	1.14694234522353
Cpox	0	0	0	0	0	0	0	0	1.14520702876792
Asns	0	0	0	0	0	0	0	0	1.14238432465974
Nlrp1c-ps	0	0	0	0	0	0	0	0	1.13562585423081
E230029C05Rik	0	0	0	0	0	0	0	0	1.12573107703598
Arhgef37	0	0	0	0	0	0	0	0	1.12500592394862
Nxpe1-ps	0	0	0	0	0	0	0	0	1.11856531909881
CT010445.1	0	0	0	0	0	0	0	0	1.11787730070846
Cngb1	0	0	0	0	0	0	0	0	1.09878507396689
Tssk4	0	0	0	0	0	0	0	0	1.09798258144928
Brd4	0	0	0	0	0	0	0	0	1.09533993933718
Gm26917	0	0	0	0	0	0	0	0	1.09054589592902
BC024978	0	0	0	0	0	0	0	0	1.08455084877099
Calcrl	0	0	0	0	0	0	0	0	1.08140303983855
Xist	0	0	0	0	0	0	0	0	1.08006993659918
Rnf217	0	0	0	0	0	0	0	0	1.0770883665826
Plcb1	0	0	0	0	0	0	0	0	1.07336691944108
Sec14l2	0	0	0	0	0	0	0	0	1.06936705147609
Gm12655	0	0	0	0	0	0	0	0	1.06675203946731
Rims3	0	0	0	0	0	0	0	0	1.06006015392107
Hectd4	0	0	0	0	0	0	0	0	1.06002967244184
Abat	0	0	0	0	0	0	0	0	1.0575212604328
Gm45110	0	0	0	0	0	0	0	0	1.05742123668068
Airn	0	0	0	0	0	0	0	0	1.05215637358598
Satb2	0	0	0	0	0	0	0	0	1.03993059492541
Gm45501	0	0	0	0	0	0	0	0	1.02671265764595
Gm42732	0	0	0	0	0	0	0	0	1.02465613340886
Gm6545	0	0	0	0	0	0	0	0	1.01841184220675
Tmem150b	0	0	0	0	0	0	0	0	1.01838878150308
Gm43682	0	0	0	0	0	0	0	0	1.01002481527964
Gm38190	0	0	0	0	0	0	0	0	1.00932689642741
Diaph2	0	0	0	0	0	0	0	0	1.0055272934858
Gm29170	0	0	0	0	0	0	0	0	1.00466877823283
Pcbp2	0	0	0	0	0	0	0	0	1.00170979405192
Gm27010	0	0	0	0	0	0	0	0	0.996574867335169
Kyat3	0	0	0	0	0	0	0	0	0.991302340719142
Gm44667	0	0	0	0	0	0	0	0	0.990268426187722
Gm42659	0	0	0	0	0	0	0	0	0.963951820174066
Gm15991	0	0	0	0	0	0	0	0	0.963589332478385
Hmgn5	0	0	0	0	0	0	0	0	0.963073182958863
BC051142	0	0	0	0	0	0	0	0	0.961619333661415
Ly96	0	0	0	0	0	0	0	0	0.954552104149826
Zfhx3	0	0	0	0	0	0	0	0	0.949439564218983
Bcorl1	0	0	0	0	0	0	0	0	0.948609526668445
Gm12966	0	0	0	0	0	0	0	0	0.943800795079426
Gm47242	0	0	0	0	0	0	0	0	0.943642714526474
Mospd3	0	0	0	0	0	0	0	0	0.938331159359462
4930480K23Rik	0	0	0	0	0	0	0	0	0.931623591962069
Tet3	0	0	0	0	0	0	0	0	0.927396411175291
Gm37760	0	0	0	0	0	0	0	0	0.91381957150635
Crebbp	0	0	0	0	0	0	0	0	0.910934020760158
Luc7l2	0	0	0	0	0	0	0	0	0.909971038905859
Prdm9	0	0	0	0	0	0	0	0	0.904537690507954
Rtn1	0	0	0	0	0	0	0	0	0.904481736081095
Setd1b	0	0	0	0	0	0	0	0	0.90006031005945
Rfx7	0	0	0	0	0	0	0	0	0.898629441749678
Ppp2r3a	0	0	0	0	0	0	0	0	0.897719091031613
Gan	0	0	0	0	0	0	0	0	0.897185762411983
Yod1	0	0	0	0	0	0	0	0	0.89600554152118
Celf4	0	0	0	0	0	0	0	0	0.89581209074513
Krt10	0	0	0	0	0	0	0	0	0.895630549114678
Plekhg1	0	0	0	0	0	0	0	0	0.893578772850831
Gm37019	0	0	0	0	0	0	0	0	0.890754674235086
Kdm6b	0	0	0	0	0	0	0	0	0.889217749022303
AC114585.1	0	0	0	0	0	0	0	0	0.887235038071965
Stard9	0	0	0	0	0	0	0	0	0.886553103810522
Hipk1	0	0	0	0	0	0	0	0	0.879084731737593
Mapre3	0	0	0	0	0	0	0	0	0.877634019456708
Atxn7l1	0	0	0	0	0	0	0	0	0.877408121287261
