	AL_TCDD_M_Bl_adt	BA_BPA10mg_M_Bl_adt	BA_BPA10ug_M_Bl_adt	BI_PM2.5_M_Bl_adt	DO_Pb_M_Bl_adt	DO_DEHP_M_Bl_adt	MU_PM2.5_M_Bl_adt	ZB_As_M_Bl_adlt	WK_TBT_M_Bl_adt
Rbp2	0	0	0	0	0	0	0	0	2.144690163
Pcsk4	0	0	0	0	0	0	0	0	1.662599994
Gm49085	0	0	0	0	0	0	0	0	1.630140424
Gm21769	0	0	0	0	0	0	0	0	1.378889929
Slc15a1	0	0	0	0	0	0	0	0	1.372711053
Gm44198	0	0	0	0	0	0	0	0	1.316408258
Gm42658	0	0	0	0	0	0	0	0	1.312627244
Efcab7	0	0	0	0	0	0	0	0	1.293219293
Ppargc1a	0	0	0	0	0	0	0	0	1.288826892
Amn	0	0	0	0	0	0	0	0	1.279001231
Gm10136	0	0	0	0	0	0	0	0	1.271798536
Trim36	0	0	0	0	0	0	0	0	1.25608496
Gm5822	0	0	0	0	0	0	0	0	1.255488228
1700102P08Rik	0	0	0	0	0	0	0	0	1.243768626
Rpl21-ps8	0	0	0	0	0	0	0	0	1.227286103
Map2	0	0	0	0	0	0	0	0	1.226332897
Gm44745	0	0	0	0	0	0	0	0	1.22148918
Ell3	0	0	0	0	0	0	0	0	1.217652652
Gm42979	0	0	0	0	0	0	0	0	1.203472421
Hmgcll1	0	0	0	0	0	0	0	0	1.190626234
Gm44888	0	0	0	0	0	0	0	0	1.182902386
Gm43481	0	0	0	0	0	0	0	0	1.182694873
Zfp939	0	0	0	0	0	0	0	0	1.180308452
Gm43857	0	0	0	0	0	0	0	0	1.175441459
Gm14410	0	0	0	0	0	0	0	0	1.174952566
Gm43300	0	0	0	0	0	0	0	0	1.170277653
9930014A18Rik	0	0	0	0	0	0	0	0	1.169693973
Gm28229	0	0	0	0	0	0	0	0	1.162873517
Ighv5-9	0	0	0	0	0	0	0	0	1.154503542
Gm42829	0	0	0	0	0	0	0	0	1.154337583
Zfp383	0	0	0	0	0	0	0	0	1.150354189
Gm7435	0	0	0	0	0	0	0	0	1.143846432
Havcr1	0	0	0	0	0	0	0	0	1.134601568
Hpgds	0	0	0	0	0	0	0	0	1.126002971
Cryz	0	0	0	0	0	0	0	0	1.124766337
Adam4	0	0	0	0	0	0	0	0	1.120674866
Gm47218	0	0	0	0	0	0	0	0	1.114070329
Gm20429	0	0	0	0	0	0	0	0	1.102508661
Gcdh	0	0	0	0	0	0	0	0	1.102347417
Irf6	0	0	0	0	0	0	0	0	1.098029594
Mapre3	0	0	0	0	0	0	0	0	1.096771954
1700012I11Rik	0	0	0	0	0	0	0	0	1.082272283
9330162G02Rik	0	0	0	0	0	0	0	0	1.07603277
Sdc1	0	0	0	0	0	0	0	0	1.073631716
Gm44567	0	0	0	0	0	0	0	0	1.072865516
Gm26621	0	0	0	0	0	0	0	0	1.059039618
Kynu	0	0	0	0	0	0	0	0	1.056895924
Pank1	0	0	0	0	0	0	0	0	1.054368148
4930417O13Rik	0	0	0	0	0	0	0	0	1.053288387
Ube2n-ps1	0	0	0	0	0	0	0	0	1.05094128
Gm4924	0	0	0	0	0	0	0	0	1.050385613
5430437J10Rik	0	0	0	0	0	0	0	0	1.050023216
Ap1s3	0	0	0	0	0	0	0	0	1.049620605
Decr2	0	0	0	0	0	0	0	0	1.048230421
Gm10138	0	0	0	0	0	0	0	0	1.047696763
Agbl1	0	0	0	0	0	0	0	0	1.047630756
Gm10501	0	0	0	0	0	0	0	0	1.042435079
Ighv1-59	0	0	0	0	0	0	0	0	1.04238006
Ehhadh	0	0	0	0	0	0	0	0	1.029675572
Angptl2	0	0	0	0	0	0	0	0	1.02907775
Yes1	0	0	0	0	0	0	0	0	1.026005692
Gm18752	0	0	0	0	0	0	0	0	1.023391644
4921525O09Rik	0	0	0	0	0	0	0	0	1.016917767
Iigp1	0	0	0	0	0	0	0	0	1.013429297
D130020L05Rik	0	0	0	0	0	0	0	0	1.013327219
4930466K18Rik	0	0	0	0	0	0	0	0	1.010458063
Rbms2	0	0	0	0	0	0	0	0	1.008693494
Cbll1	0	0	0	0	0	0	0	0	1.007343147
Adamdec1	0	0	0	0	0	0	0	0	0.999858579
Gm47567	0	0	0	0	0	0	0	0	0.99927798
Pdcd1lg2	0	0	0	0	0	0	0	0	0.995502545
Ighv1-11	0	0	0	0	0	0	0	0	0.984399117
Gm21399	0	0	0	0	0	0	0	0	0.980916188
2010007H06Rik	0	0	0	0	0	0	0	0	0.977272582
Gm43681	0	0	0	0	0	0	0	0	0.972277349
Stambp	0	0	0	0	0	0	0	0	0.970398724
Gm48978	0	0	0	0	0	0	0	0	0.969858061
Zfp974	0	0	0	0	0	0	0	0	0.968980836
Lag3	0	0	0	0	0	0	0	0	0.967177891
Gm16062	0	0	0	0	0	0	0	0	0.964412294
Mycl	0	0	0	0	0	0	0	0	0.961794813
Gm47232	0	0	0	0	0	0	0	0	0.959924398
Gm49502	0	0	0	0	0	0	0	0	0.959149048
Zc2hc1a	0	0	0	0	0	0	0	0	0.949402213
Gm15446	0	0	0	0	0	0	0	0	0.946902069
Trib3	0	0	0	0	0	0	0	0	0.94547685
AC174678.1	0	0	0	0	0	0	0	0	0.944795398
1700027J07Rik	0	0	0	0	0	0	0	0	0.944572113
1700056N10Rik	0	0	0	0	0	0	0	0	0.93858162
Gm10288	0	0	0	0	0	0	0	0	0.936818766
Tnfrsf22	0	0	0	0	0	0	0	0	0.928446985
Actr6	0	0	0	0	0	0	0	0	0.928066509
Zfp605	0	0	0	0	0	0	0	0	0.917904148
Scp2-ps2	0	0	0	0	0	0	0	0	0.917601829
C030015A19Rik	0	0	0	0	0	0	0	0	0.916220492
Gm42715	0	0	0	0	0	0	0	0	0.914233597
Gm43196	0	0	0	0	0	0	0	0	0.912708899
Slc35f2	0	0	0	0	0	0	0	0	0.907363849
Gm45867	0	0	0	0	0	0	0	0	0.889967387
A230072C01Rik	0	0	0	0	0	0	0	0	0.886916617
Gm37893	0	0	0	0	0	0	0	0	0.885005507
Xrcc2	0	0	0	0	0	0	0	0	0.881730299
Slc35d1	0	0	0	0	0	0	0	0	0.878457041
Gm49201	0	0	0	0	0	0	0	0	0.87643608
Ighv1-77	0	0	0	0	0	0	0	0	0.873320728
Cnrip1	0	0	0	0	0	0	0	0	0.870249972
Bphl	0	0	0	0	0	0	0	0	0.867973896
Zfp85	0	0	0	0	0	0	0	0	0.867117548
Fbxo47	0	0	0	0	0	0	0	0	0.866933069
Gpt	0	0	0	0	0	0	0	0	0.86106684
Miga2	0	0	0	0	0	0	0	0	0.860701
Hint3	0	0	0	0	0	0	0	0	0.860582104
Gnpnat1	0	0	0	0	0	0	0	0	0.85756482
2310043P16Rik	0	0	0	0	0	0	0	0	0.85477194
Card6	0	0	0	0	0	0	0	0	0.852310814
Ttc32	0	0	0	0	0	0	0	0	0.850166834
Atp23	0	0	0	0	0	0	0	0	0.849489107
Ttc41	0	0	0	0	0	0	0	0	0.844941407
Cenpq	0	0	0	0	0	0	0	0	0.837770788
Cacfd1	0	0	0	0	0	0	0	0	0.836216227
Gm30211	0	0	0	0	0	0	0	0	0.830090175
Gm34220	0	0	0	0	0	0	0	0	0.829256697
Gm18113	0	0	0	0	0	0	0	0	0.827450699
Ighv9-4	0	0	0	0	0	0	0	0	0.82350717
B3gnt5	0	0	0	0	0	0	0	0	0.823382227
Parp4	0	0	0	0	0	0	0	0	0.815339361
Zfp964	0	0	0	0	0	0	0	0	0.814371438
9930017N22Rik	0	0	0	0	0	0	0	0	0.814102237
Kctd3	0	0	0	0	0	0	0	0	0.810215778
AU020206	0	0	0	0	0	0	0	0	0.808508501
Mthfsl	0	0	0	0	0	0	0	0	0.807401946
Stac3	0	0	0	0	0	0	0	0	0.805475933
Gm47828	0	0	0	0	0	0	0	0	0.803969533
1810041H14Rik	0	0	0	0	0	0	0	0	0.802653365
Bbs10	0	0	0	0	0	0	0	0	0.801622835
Scai	0	0	0	0	0	0	0	0	0.801402072
Zfp770	0	0	0	0	0	0	0	0	0.80122615
Dpm1	0	0	0	0	0	0	0	0	0.79912176
Gm43379	0	0	0	0	0	0	0	0	0.794490995
Dennd5b	0	0	0	0	0	0	0	0	0.793090556
Mrps33	0	0	0	0	0	0	0	0	0.790358882
Qtrt2	0	0	0	0	0	0	0	0	0.78994554
Knl1	0	0	0	0	0	0	0	0	0.786703789
Lactb2	0	0	0	0	0	0	0	0	0.785370592
Zfp275	0	0	0	0	0	0	0	0	0.784966604
Zfp873	0	0	0	0	0	0	0	0	0.782221022
Nat14	0	0	0	0	0	0	0	0	0.778272182
Adk	0	0	0	0	0	0	0	0	0.778070615
Cd1d1	0	0	0	0	0	0	0	0	0.776396784
Slc5a6	0	0	0	0	0	0	0	0	0.774492301
Gm14085	0	0	0	0	0	0	0	0	0.774069268
Bach2	0	0	0	0	0	0	0	0	0.772868213
Pcbp2	0	0	0	0	0	0	0	0	0.771523274
Socs4	0	0	0	0	0	0	0	0	0.76781296
Gm37123	0	0	0	0	0	0	0	0	0.765531308
Nubpl	0	0	0	0	0	0	0	0	0.76546553
Ankrd37	0	0	0	0	0	0	0	0	0.762143769
1700012D14Rik	0	0	0	0	0	0	0	0	0.7610256
BC002059	0	0	0	0	0	0	0	0	0.759351502
Lrrc75a	0	0	0	0	0	0	0	0	0.759180491
Taf15	0	0	0	0	0	0	0	0	0.758552087
Sccpdh	0	0	0	0	0	0	0	0	0.755593307
Gm15133	0	0	0	0	0	0	0	0	0.751886858
Gm20300	0	0	0	0	0	0	0	0	0.750885385
Zfp160	0	0	0	0	0	0	0	0	0.749071735
Cpox	0	0	0	0	0	0	0	0	0.748812326
Zfp395	0	0	0	0	0	0	0	0	0.748546974
Gm47730	0	0	0	0	0	0	0	0	0.748186261
Stap1	0	0	0	0	0	0	0	0	0.747526829
Gm10033	0	0	0	0	0	0	0	0	0.744908664
1300002E11Rik	0	0	0	0	0	0	0	0	0.741829471
Nfatc2ip	0	0	0	0	0	0	0	0	0.741363335
4933404O12Rik	0	0	0	0	0	0	0	0	0.741090311
C230037L18Rik	0	0	0	0	0	0	0	0	0.736480008
Sinhcaf	0	0	0	0	0	0	0	0	0.735363849
Rbm12b2	0	0	0	0	0	0	0	0	0.735213201
D030056L22Rik	0	0	0	0	0	0	0	0	0.734243322
Ndufab1	0	0	0	0	0	0	0	0	0.733919617
Ikzf3	0	0	0	0	0	0	0	0	0.732869317
Rad51	0	0	0	0	0	0	0	0	0.729934864
Apbb1ip	0	0	0	0	0	0	0	0	0.729675782
Zfp326	0	0	0	0	0	0	0	0	0.72440288
Adal	0	0	0	0	0	0	0	0	0.718094413
Fam173b	0	0	0	0	0	0	0	0	0.717350892
Ndufaf4	0	0	0	0	0	0	0	0	0.715845728
Gm37065	0	0	0	0	0	0	0	0	0.710911325
Cd36	0	0	0	0	0	0	0	0	0.707511402
Rps23-ps1	0	0	0	0	0	0	0	0	0.706321292
Brix1	0	0	0	0	0	0	0	0	0.70500231
Zfp329	0	0	0	0	0	0	0	0	0.704969083
Rad51c	0	0	0	0	0	0	0	0	0.702653174
Gbp4	0	0	0	0	0	0	0	0	0.702067021
