	Aylor_TCDD_Female_adult	Bartolomei_BPA10mg_Female_adult	Bartolomei_BPA10ug_Female_adult	Biswal_PM2.5_Female_adult	Dolinoy_Pb_Female_adult	Dolinoy_DEHP_Female_adult	Mutlu_PM2.5_Female_adult	Zhibin_As_Female_adult	Walker_TBT_Female_adt	num
5830448L01Rik	0	-0.972055277	-1.090740519	1.059560561	0	0	0	-0.902606931	0.775599726	5
Gm14303	0	1.502367379	0	0.596156292	1.218209947	0.892210837	0	0	-0.8715889	5
Gm3227	0	2.148739898	1.075654893	-1.343593885	0	0	0	-1.07141014	-0.762316152	5
Gm5483	0	0	-1.469393643	-1.42333229	0	0	-0.967739122	0.955988403	-0.827767295	5
Gm9843	0	1.068347416	0	0.88692304	1.133013116	0.979501694	0	0.800269278	0	5
Gpx4-ps2	0	0	-1.293293564	2.508070972	0.781164721	0.718858376	0	0.640412506	0	5
Klra9	0.626353539	-1.157920198	0	1.062363002	0	0	0	0.717900786	-0.621379685	5
Klrb1c	0.741687772	-0.884440198	0	0.922072554	0	0	0	0.694214935	-0.856076209	5
Klre1	0.988363983	-0.818939193	0	1.039831887	0	0	0	0.655005398	-0.735961996	5
Rpl28-ps1	0	1.26987985	0	1.124128304	1.407380282	1.167256415	0	0	-0.834147855	5
Rps16-ps2	0	0.858456801	0	0.985563906	0.823515258	0.61394236	0	0	-0.902434817	5
Rps18-ps3	0	0	0	1.129658097	1.042259125	1.262386485	0	0.989830383	-1.474778229	5
Rps27rt	0	1.14471137	0	1.171122961	1.167653221	1.223145449	0	0.869745957	0	5
1810058I24Rik	0	-1.039091263	-1.112370213	2.197342831	0	0	0	0.866245536	0	4
Abcb1a	1.056871792	-1.416268288	0	0.718621162	0	0	0	0	-0.853256588	4
Abcb4	0	-1.010444857	-0.746585104	1.390679163	0	0	0	0	0.659704817	4
AC132455.1	0	-2.801854016	-1.649077545	2.650175659	0	0	0	0	0.881806605	4
Arhgef12	0	-1.169966492	-0.783727901	2.612789074	0	0	0	0	0.594180752	4
Asprv1	0	0	-1.310204508	-1.771690211	0	0	-1.005904318	0	-1.532728435	4
Atf5	0	-0.92215346	-1.778554387	1.556644888	0	0	0	0	1.273355519	4
Cd101	0	-1.154135784	-1.257230728	-1.344414244	0	0	-0.621234774	0	0	4
Cd160	1.119393648	-1.430203026	-0.922494075	0	0	0	0	0	-0.836841614	4
Cd9-ps	0	-0.865083416	-0.891973165	1.791095022	-0.719365844	0	0	0	0	4
Cdh17	0	0.619264304	0.868507008	-1.774574568	0	0	0	0	-1.013036822	4
Cela1	0	-2.152971535	-2.179763517	3.238539459	0	0	0	0.951071508	0	4
Chrnb1	0	0.668309815	0.630125947	-0.595883591	0	0	0	-0.607364874	0	4
Cox5a	0	-0.589638786	-1.020951105	1.195236043	0	0	0	0.680085236	0	4
Cysltr2	0.594965965	-1.692025217	-1.48045945	2.839523039	0	0	0	0	0	4
Dcstamp	0	-2.944554138	-2.258823542	2.754195232	0	0	0	0	-1.046367686	4
Esd	0	-1.140631317	-1.217942989	1.594210029	0	0	0	0.698910467	0	4
Eya2	0	-1.227843885	-0.907473578	0.825733965	0	0	0	0	-0.787332338	4
Fam174b	0	-1.935084579	-1.684700726	2.970726775	0	0	0	0.793154078	0	4
Folr2	0	1.310290302	0	-2.564716041	0	0	0	1.665134878	-1.799003893	4
Gdpd5	0.88950748	0	0	-0.625872385	0	0	0	-0.595280376	-0.692428163	4
Gm10076	0	0.852686378	0	0.72082661	1.232939381	1.134732105	0	0	0	4
Gm10275	0	0.632352971	0	0.700389779	0	0	0	0.771606727	-0.627109958	4
Gm10419	0	-3.004652231	-2.492908673	2.979834221	0	0	0	0.973355863	0	4
Gm11478	0	0.910709967	0	0.596712202	1.137467572	0.834805339	0	0	0	4
Gm15050	0	-2.010701793	-1.929998662	3.306133673	0	0	0	1.442917849	0	4
Gm15427	0	0.593712232	0	0.637470105	0.802781134	0.70878412	0	0	0	4
Gm15501	0	1.329926433	0	1.270733969	1.083119819	1.096916153	0	0	0	4
Gm15952	0	0.764059106	0	0.92130328	0	0	0	0.8756515	0.796439769	4
Gm2000	0	1.742363937	0	0.79490166	1.286751834	0.8558263	0	0	0	4
Gm27007	0	-1.086629545	-1.169151061	4.278902242	0	0	0	1.481902056	0	4
