	Aylor_TCDD_Male_adult	Bartolomei_BPA10mg_Male_adult	Bartolomei_BPA10ug_Male_adult	Biswal_PM2.5_Male_adult	Dolinoy_Pb_Male_adult	Dolinoy_DEHP_Male_adult	Mutlu_PM2.5_Male_adult	Zhibin_As_Male_adult	Walker_TBT_Male_adt	num
Rpsa-ps2	0	0.956614453	1.042653256	0	0	-0.746606852	0.625265823	-0.872801386	-0.879548167	6
Cc2d2b	0	-1.037742667	0	-0.633618884	-0.737736209	0	-0.846529147	0	-0.949634649	5
Cchcr1	-0.672111229	-0.949121439	-0.675874717	-0.678444708	0	0	0	0.736304797	0	5
Chpt1	0	0.742559535	0.619378929	0.786178718	0	0	0	-0.607511358	0.889436051	5
F730311O21Rik	-0.848948643	0	-0.906374135	0.681812443	0	0	0.733455582	0	0.677337657	5
Gm11539	0	1.230909471	0.713134323	0.916090707	0	0	0.757736994	-1.014302279	0	5
Gm13340	0	1.589529647	1.155672824	-0.753602719	-1.168949593	0	0	-0.797377677	0	5
Gm28437	0	1.579293558	1.168167355	-1.140443543	-1.310675006	0	0.902923616	0	0	5
Gm9385	0	0.710020293	1.362492785	0	0	0	0.621420498	-0.736912289	0.938879453	5
Hist3h2ba	0	-0.750083399	-0.942600433	-0.987470922	-0.656986066	0	0	-1.443121598	0	5
Igkv4-50	0	-1.17586376	-1.269068809	0	-0.728425206	0	0.910967878	0	1.259617583	5
Igkv4-80	0	-1.098736303	0	0	-1.265490752	0	0.861580796	-0.661153468	0.992749332	5
Rpl34-ps1	0	1.510509491	1.420956813	0.617495298	0	0	0.785724777	-0.845168032	0	5
Rpl36-ps12	0.772956793	0.755599696	0.927990424	0	-0.802304186	0	0	-0.9333971	0	5
Rps15-ps2	0	1.144726857	0.957883896	0	-0.939548951	-0.950443976	0	-1.044762744	0	5
Rps27rt	0	0.706902609	0	0.79503132	0	0	0.657122534	-1.201847391	0.807017761	5
Sh3yl1	0	-1.055651299	-0.829548743	-1.650402353	0	0	-0.909606961	-0.616962665	0	5
Shtn1	0	0.962229045	0	1.712730966	0	0	-0.790077382	0.677529301	-0.662842982	5
Zc3h6	0	0.738630252	0	0.645090762	-0.693217906	0	0.688773074	0.603201878	0	5
4930426D05Rik	0	0	-0.820178106	-1.00154914	0	0	0.72520921	0	0.601219073	4
4930598N05Rik	0	-1.104215779	0.853030103	0	-0.772678022	0	0	0	-1.013774335	4
