Aylor_TCDD_Female_adult_blood	Aylor_TCDD_Female_adult_liver	Bartolomei_BPA10mg_Female_adult_blood	Bartolomei_BPA10mg_Female_adult_liver	Bartolomei_BPA10ug_Female_adult_blood	Bartolomei_BPA10ug_Female_adult_liver	Biswal_PM2.5_Female_adult_blood	Biswal_PM2.5_Female_adult_liver	Dolinoy_DEHP_Female_adult_blood	Dolinoy_DEHP_Female_adult_liver	Dolinoy_Pb_Female_adult_blood	Dolinoy_Pb_Female_adult_liver	Mutlu_PM2.5_Female_adult_blood	Mutlu_PM2.5_Female_adult_liver	Walker_TBT_Female_adult_blood	Walker_TBT_Female_adult_liver	Zhibin_As_Female_adult_blood	Zhibin_As_Female_adult_liver	Type
Zc3h6	-0.845218135692334	-1.10601189645484	0	0	0	0	-0.663224032678591	0	0	0	0	0	0	0	0	0.769451180723395	0	1.61452132733942	Aylor_TCDD_Female
Abcb1a	1.05687179217805	-1.1026947643123	-1.41626828848542	0	0	0	0.718621161872771	-0.704580840173946	0	0	0	0	0	0	-0.882685833130519	0	0	0	Aylor_TCDD_Female
Hsph1	0.758563749022518	0.934812476230006	-0.892992840815829	0	0	0	1.03443508138453	0	0	0	0	0	0.752615525595245	0	0	-0.585280736985775	0	-1.08078081849567	Aylor_TCDD_Female
St5	0.618251486210404	0.638006638985908	0	0	0	0.621963343187235	1.04632873493954	0	0	0	0	0	0	0	0	0	0	0	Aylor_TCDD_Female
Jdp2	0.758204109780676	0.738245227167104	0	0	-0.976454836670751	0	0	0	0	0	0	0	0	0.61398889883366	0	0	0	0	Aylor_TCDD_Female
Gbp8	0.941055045088233	0.593114783485633	-0.688822723187064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.690369048861178	Aylor_TCDD_Female
Ppp1r3b	0.63842720314972	1.02763899872001	-0.802297561394192	0	-0.737336770576067	0	0	0	0	0	0	0	0	0	0	-0.722900498490424	0	0	Aylor_TCDD_Female
Rrm2	0.856572598844444	0.660309499089754	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.886230381746189	0	0	Aylor_TCDD_Female
1500026H17Rik	0	0	-1.54311588592414	0.584979106256056	-2.06722280094257	0	2.35494054653629	0	0	0	0	-0.612522251505568	0	0	0	0	0	0	Bartolomei_BPA10mg_Female
Nlrp12	0	0.967612536848658	-0.841016668968481	0.587393361984912	-1.04088380337351	0	-1.22186294500393	0	0	0	0	0	0	-0.641613885633852	0	0	0	0.790084089197023	Bartolomei_BPA10mg_Female
Kcna2	0	0	-0.794582226886718	-0.863074611563642	0	0	0	0	0	0	0	0	0	0	0	0	0	1.25073564170868	Bartolomei_BPA10mg_Female
Zbtb20	0	0	0.762961283163378	-0.64189371433156	0	0	0	0	0	0	0	0	0	0	0.847849304614874	0	0	0	Bartolomei_BPA10mg_Female
Gm10076	0	0	0.852686377614895	0.697971864680153	0	0	0.720826609888448	0	1.13473210483013	0	1.23293938136986	0	0	0	0	0	0	0	Bartolomei_BPA10mg_Female
Rpl31-ps8	0	0	1.17029209370794	0.932700488951209	0	0	1.25527148679031	0	1.21538515896915	0	1.41094715381282	0	0	0	0	-0.63884275829173	0	0	Bartolomei_BPA10mg_Female
Rps27rt	0	0	1.14471136978534	0.858454102814682	0	0	1.17112296135849	0	1.22314544941075	0	1.16765322147019	0	0	0	0	-0.852820961080784	0.869745956702905	0	Bartolomei_BPA10mg_Female
Gm10443	0	0	1.53632635981843	1.10872822513404	0	0	0	0	0.874797636780773	0	1.36407442864163	0	0	0	0	-0.960780199110094	0	1.3183512574215	Bartolomei_BPA10mg_Female
Gm11478	0	0	0.910709967066025	0.763733322165567	0	0	0.596712202299954	0	0.834805338702886	0	1.13746757247947	0	0	0	0	-0.758143099319165	0	1.96982444026926	Bartolomei_BPA10mg_Female
Gm14303	0	0	1.50236737939403	1.70421207337607	0	0	0.596156291611314	0	0.892210837209365	0	1.21820994659929	0	0	0	-0.833061859062912	0	0	0.938527114842268	Bartolomei_BPA10mg_Female
Rps16-ps2	0	0	0.858456801122256	0.708524006042643	0	0	0.985563906140339	0	0.613942359685624	0	0.823515258276131	0	0	0	-0.864871317960502	0	0	1.26381979227867	Bartolomei_BPA10mg_Female
Gm9843	0	0	1.06834741575056	0.807658884772868	0	0	0.886923040267524	0	0.979501694373133	0	1.13301311609234	0	0	0	0	0	0.800269278447342	1.22849584805838	Bartolomei_BPA10mg_Female
Rpl38-ps2	0	0	0.901854406016185	1.10770685208326	0	0	0.953381421223348	0	0.81926906365146	0	0.951839449724623	0	0	0	0	0	0	0.832603795336255	Bartolomei_BPA10mg_Female
Epha2	0	0.958207225293008	2.09470168762713	0.649920506164257	0	0	0	0.855608022888357	0	0	0	0	0	0	0	0	0	0	Bartolomei_BPA10mg_Female
Plin2	0	0.687265492247945	0.686999157915802	0.67442865262671	0	0	0	1.02403826391753	0	0	0	0	0	0	0	0	0	0	Bartolomei_BPA10mg_Female
Rps3a2	-0.741637886989942	0	0.988353794946904	0.784063785869541	0	0	0	0	0	0	0	0	0	0	-1.19236431956067	0	0	1.1160866388611	Bartolomei_BPA10mg_Female
Rpl9-ps6	0	0	1.24962452193695	0.866569581121913	0	0	0.824137063167863	0	0	0	0	0	0	0	-0.619587275229042	-0.742676346179238	0	0.8088643827784	Bartolomei_BPA10mg_Female
Gm4149	0	0	1.43873299144137	1.0320030261356	0	0	0	0	0	0	0	0.593895037688797	0	0	0	-0.730962200653043	0	0.661881750954741	Bartolomei_BPA10mg_Female
Gm9385	0	0	1.08052008703104	0.732346867182607	0	0	0	0	0	0	0	0	0	0	0	-0.721666208028961	0	1.21000980050796	Bartolomei_BPA10mg_Female
Rpl19-ps11	0	0	0.669682871867158	0.587298223808594	0	0	0.67643087734983	0	0	0	0.835782216584617	0	0	0	0	0	0	0.881185174879566	Bartolomei_BPA10mg_Female
Gm10288	0	0	0.804080573554775	0.781687714831021	0	0	0	0	0	-0.658842816221021	0.75125339346252	0	0	0	0	0	0	0.850059589450526	Bartolomei_BPA10mg_Female
Rps24-ps3	0	0	0.805256880640416	0.865532000323094	0	0	0	0	0	0	0.703131214384372	0	0	0	0	0	0	1.28348665738569	Bartolomei_BPA10mg_Female
Gm6863	0	0	0.780393578214029	0.868039259706326	0	0	0.765016588579165	0	0	0	0	0	0	0	0	0	0	1.42692335085661	Bartolomei_BPA10mg_Female
Etfb	0	0	1.25029919511061	0.658092485591035	0	0	0	0	0	0	0	0	0	0	0	0	0	1.88832607571259	Bartolomei_BPA10mg_Female
Ndufb2	0	0	0.715735582608093	0.692057570215988	0	0	0	0	0	0	0	0	0	0	0	0	0	1.69294587778104	Bartolomei_BPA10mg_Female
Chkb	0	0	1.28530849457507	0.764534219487459	0	0	0	0	0	0	0	0	0	0	0	0	0	0.84051099123768	Bartolomei_BPA10mg_Female
Ndufb4	0	0	1.11845916100987	0.900294626150602	0	0	0	0	0	0	0	0	0	0	0	0	0	0.627643991605872	Bartolomei_BPA10mg_Female
Rpl37rt	0	0	1.15062073760625	0.646039820620148	0	0	0	0	0	0	0	0	0	0	0	0	0	1.19475349593902	Bartolomei_BPA10mg_Female
Ten1	0	0	0.82322374006038	0.656173643797329	0	0	0	0	0	0	0	0	0	0	0	0	0	0.919229546821132	Bartolomei_BPA10mg_Female
Rps10	0	0	1.77884789066455	0.825941609405667	0	0	0	0	0	0	0	0	0	0	0	0	0	0.774135792943354	Bartolomei_BPA10mg_Female
Snord104	0	0	1.56453750180278	0.761573280358547	0	0	0	0	0	0	0	0	0	-0.753891830571209	0	0	0	1.20717201876605	Bartolomei_BPA10mg_Female
Gm10275	0	0	0.632352971054004	0.692094684416815	0	0	0.700389779347536	0	0	0	0	0	0	0	-0.596374342980332	-0.620311923198926	0.771606727175059	0	Bartolomei_BPA10mg_Female
Rps13-ps2	0	0	1.23103549185631	1.29137681842444	0	0	1.1267153670844	0	0	0	0	0	0	0	-0.994539817224471	0	0.736704191349957	0.62832466480788	Bartolomei_BPA10mg_Female
Rpl36al	0	0	1.62610054372574	1.32859636340039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bartolomei_BPA10mg_Female
Smco4	0	0	0.912464540950097	0.623589401970734	0	0	0	0	0	0	0	0	0	0	-0.658043739852721	0	0	0	Bartolomei_BPA10mg_Female
Pim3	0	0	0.683185243628236	0.751745355208905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bartolomei_BPA10mg_Female
Rps21	0	0	1.20462884622731	0.624166894656757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bartolomei_BPA10mg_Female
Tstd1	0	0	1.34178839555375	0.625258056873984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bartolomei_BPA10mg_Female
Rpl39	0	0	0.960182199641664	0.603011173220419	0	-0.693087947991172	0	0	0	0	0	0	0	0	0	0	0.918450596710207	0	Bartolomei_BPA10mg_Female
Ndufb1-ps	0	0	0.808422393151587	0.736543861563064	0	0	0	0	0	0	0	0	0	0	0	0	0.828720614902848	0.622498429903529	Bartolomei_BPA10mg_Female
Smim27	0	0	1.10591744994719	0.778113839139908	0	0	0.597264840217493	0	0	0	0	0	0	0	0	0	0.915313467076435	0.831702417657122	Bartolomei_BPA10mg_Female
Chac1	0	0	0	0	-1.01693247918835	-0.71808893606366	-1.62667253724216	0	0	0	0	0	0	0	0	-0.990643959390708	0	-1.12824018331793	Bartolomei_BPA10ug_Female
Lcn2	0	0	0	0	-2.02869178442656	-2.0475360145441	-1.79480580597151	0	0	0	0	0	0	0	0	0	0	0	Bartolomei_BPA10ug_Female
Wfdc21	0	0	0	0	-2.08668471191262	-0.854673275494865	-1.01879392762867	0.833906640322618	0	0	0	0	0	0	0	0	0	0.692184447692088	Bartolomei_BPA10ug_Female
Lst1	0	0	0	0	-0.857639632983863	-0.730730625419465	0	0	0	0	0	0	0	0	0	0	0.65622329158304	0	Bartolomei_BPA10ug_Female
Fpr1	0	0	0	0	-0.969584649836027	-1.02704394415935	0	0	0	0	0	0	0	0	0	0	0	0	Bartolomei_BPA10ug_Female
Hp	0	0	0	0	-1.03088290324069	-0.695702332712785	0	0	0	0	0	0	0	0	0	0	0	0	Bartolomei_BPA10ug_Female
Tspo	0	0	0	0	-0.765220949518598	-0.810030358946577	1.28214150833913	0	0	0	0	0	0	0	0	0	0.639580486764564	0	Bartolomei_BPA10ug_Female
Tst	0	0	0	0	-1.05194773468517	-0.707885331763139	0.822861232400221	0	0	0	0	0	0	0	0	0	0	0	Bartolomei_BPA10ug_Female
Extl1	0	0	0.917125520244352	0	1.06481683157261	-1.03648472561321	-0.950505428719842	1.10198450324244	0	0	0	0	0	0	0	0	0	0	Bartolomei_BPA10ug_Female
Fam213b	0	0	1.25764039978199	0	0.70474110867006	-0.797332283539374	0	-0.638381956015213	0	0	0	0	0	0	0	0	0.712478049073463	0	Bartolomei_BPA10ug_Female
Rassf4	0	0	1.1033387277418	0	0.921611414747914	-0.67425153275718	0	0	0	-0.891120436397403	0	0	0	0	0.636640301846578	0	0	0	Bartolomei_BPA10ug_Female
Dhrs9	0	0	-2.10019344823829	0	-1.3336103509142	1.32832230322109	-1.70743537590572	0	0	1.86766435247572	0	0	0	0.795987771382479	0	0	0	-0.993963050238306	Bartolomei_BPA10ug_Female
Esam	0	0	-2.793210261336	0	-2.38284708004615	-0.612291015315612	2.76335918876464	0	0	0	0	0	0	0	0	0	0	0	Bartolomei_BPA10ug_Female
Cald1	0	0	-1.41135044929745	0	-1.6600758716191	0.616911584733856	2.75461241918997	0	0	0	0	0	0	0	0	0	0	0	Bartolomei_BPA10ug_Female
Serpine2	0	0	-1.28051546975299	0	-1.13432212671212	1.07136361753964	2.70087551767061	-0.75716472914996	0	0	0	0	0	0	0	0	0	-1.03231465832266	Bartolomei_BPA10ug_Female
mt-Tm	0	0	0	0	-1.57935023441622	1.02677630577076	1.45707811055877	0	0	0	0	0	0	0	2.15070117955697	0.918138707399225	0	0	Bartolomei_BPA10ug_Female
Gm28439	0	0	-1.15231318019852	0	-1.23751766767906	1.46290258787221	2.35171328408053	0.705472377052128	0	0	0	0	0	0	0	0	0	1.25026900480832	Bartolomei_BPA10ug_Female
Gm13340	0	0	0	0	-0.939994139505637	0.77608538069311	1.76855728907959	0.631023113970181	0	0	0	0	0	0	0.85029044904952	0	0	0.924780065377001	Bartolomei_BPA10ug_Female
Gm13341	0	0	0	0	-1.25300036832076	0.758594899450803	1.62543659852328	0.690792671309417	0	0	0	0.691493606134632	0	0	0	-1.01035668340502	0	0.899147683040738	Bartolomei_BPA10ug_Female
Serpina3k	0	0.712261879685297	0	0	-2.64829632613256	0	-2.22317831932059	0.848529783879269	0	0	0	0	0	0	0	-0.859830086297761	0	0	Biswal_PM2.5_Female
Wfdc21.1	0	0	0	0	-2.08668471191262	-0.854673275494865	-1.01879392762867	0.833906640322618	0	0	0	0	0	0	0	0	0	0.692184447692088	Biswal_PM2.5_Female
Ect2	0	0	-1.37094956401354	0	0	1.33133143000724	-0.990384255849073	-0.913235574066385	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Female
Maged1	0	0	0	0	0	0	-1.42459661291494	-0.645408834236104	0	0	0	0	0	0	-1.09585566278557	0	0	-0.662463201537954	Biswal_PM2.5_Female
Slc7a2	0	-0.592830377654548	0	0	0	0	-2.20985400761175	-0.663794032146546	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Female
H2-Eb1	0	0	0.839285170224402	0	0.630316691692719	0	-0.931804742802471	-0.586706964363998	0	0	0	0.838289176632049	0	0	0	0.639620013165202	0	0	Biswal_PM2.5_Female
