Aylor_TCDD_Male_adult_blood	Aylor_TCDD_Male_adult_liver	Bartolomei_BPA10mg_Male_adult_blood	Bartolomei_BPA10mg_Male_adult_liver	Bartolomei_BPA10ug_Male_adult_blood	Bartolomei_BPA10ug_Male_adult_liver	Biswal_PM2.5_Male_adult_blood	Biswal_PM2.5_Male_adult_liver	Dolinoy_DEHP_Male_adult_blood	Dolinoy_DEHP_Male_adult_liver	Dolinoy_Pb_Male_adult_blood	Dolinoy_Pb_Male_adult_liver	Mutlu_PM2.5_Male_adult_blood	Mutlu_PM2.5_Male_adult_liver	Walker_TBT_Male_adult_blood	Walker_TBT_Male_adult_liver	Zhibin_As_Male_adult_blood	Zhibin_As_Male_adult_liver	Type
Saa3	2.19636166736	2.62534529766013	0	0	0	2.1714999700894	0	-1.15559897997974	0	0	0	0	0	0	-3.20869648062414	0	0	0	Aylor_TCDD_Male
Ddit4	1.11661900987178	1.35164444108943	0	0	0	0	0	1.08218622398436	0	0	0	0	0	-1.26107843781477	0	-1.03465452512805	0	0	Aylor_TCDD_Male
Flot2	0.840829050793045	0.63689947214211	0	0	0	0	0	0	0	0	0	0	0	0	-0.889602757789142	0	0	0	Aylor_TCDD_Male
Il15	-0.762735157519202	0.871295837513876	0	0	0	0	0	0	0	0	0	0	0	0	0	0.708961497818685	0	0	Aylor_TCDD_Male
Ccdc34	0	0	0.658421295117909	0.74850713197413	0	0	0	0	0	0	0	0	0	0	0	0.795580904328649	0	0	Bartolomei_BPA10mg_Male
Cryl1	0.715204309988636	0	0.619399041054657	0.617313635943203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bartolomei_BPA10mg_Male
Gstm1	0	0	0.71210619412266	0.585406031975155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bartolomei_BPA10mg_Male
Tspan3	0	0	0.636659470689966	0.629908415712152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bartolomei_BPA10mg_Male
Fgg	0.648716135149275	0	0.984180125226779	-0.686254322542017	0	0	0	0	0	0	0	0	0	0	0	-0.625487673613903	1.19768362131219	0	Bartolomei_BPA10mg_Male
Hopx	0	0	0.590792992420434	-0.67270606658005	0	0	0	0	0	0	0	0	0	0	0	-0.603096611057542	0	0	Bartolomei_BPA10mg_Male
Gm45051	0	0.6563329742881	-1.36621839071143	0.62011915332163	0	0	0	-0.791096776048456	0	0	0	0	0	0.789166101785216	0	0.714160101073002	0	0	Bartolomei_BPA10mg_Male
Ltbp2	0	0	-0.985466926096043	0.969898080572575	0	0	-1.57067868295459	0	0	0	0	0	0	0	-1.38949248198039	0	0.857196250730565	0	Bartolomei_BPA10mg_Male
Pygb	0	0	-0.685136455124346	0.62480809907456	0	0	-0.661044704958064	0	0	-0.733892968700177	0	0	0	0	-1.16267858546926	0	0	0	Bartolomei_BPA10mg_Male
mt-Rnr2	0	0	0	0	1.128924313416	-0.617282919092822	0	0	0	1.21385796568401	0	0.716537866387158	0	0	0	0	0	0	Bartolomei_BPA10ug_Male
Rab27b	0	0	0	0	0.791684494308623	-0.648299826074692	0	0	0	0	0	0	0	0	-1.09096059889311	0.65206062572172	0	0	Bartolomei_BPA10ug_Male
Abhd1	0	0	0	0	-0.924229914596628	0.688564030022471	0	0	0	0	0	0	0	0	0	0	0	0	Bartolomei_BPA10ug_Male
Rps3a3	0	0	0.963321411360639	0	0.837188378406017	0.710014401104851	0.870858642676056	0	0	0	0	0	0	0	0	0	0	0	Bartolomei_BPA10ug_Male
Mylpf	0	0	0	0	0	0	-1.03288750685611	-2.07656924313586	0	-3.64228303330884	0	-2.78570131389566	0	0	0	0	0	0	Biswal_PM2.5_Male
Pygm	0	0	0	0	0	0	-1.1734440965814	-1.53226126486237	0	-3.54148362288172	0	-3.11405812497249	0	0	-1.11395645040536	0	0	0	Biswal_PM2.5_Male
Pls1	0	0	0	0	0.774320792597345	0	-0.862645410493062	1.36236671376332	0	0	0	0	0	0	-1.02693434177932	3.29702257590425	0	0	Biswal_PM2.5_Male
Usp2	0	1.58383536203906	0	0	0	0	0.664245722099721	0.814265426171375	0	0	0	0	0	0	0	1.74271107577924	0	0	Biswal_PM2.5_Male
Cyp2b10	0	0	0	0	0	0	-1.54424919377812	2.89978797119519	0	0	0	0	0	0	-1.42860445183043	0	0	0	Biswal_PM2.5_Male
Lars2	0	0	0	0	0	0	-0.755062854084881	1.8642899976562	0	0	0	0	0	0	-2.92885290677226	0	1.30455404949595	0	Biswal_PM2.5_Male
St3gal5	0	0	0	0	0	0	-1.32787123698417	2.08499678616518	0	0	0	0	-0.901046708817097	-0.694724456753218	0	-0.614965339910094	0	0	Biswal_PM2.5_Male
Rec114	0	0	0	0	0	0	-1.94411357039726	1.40351996478403	0	0	0	0	-0.989923438851	0	0	0	-0.96454365765283	0	Biswal_PM2.5_Male
Slc6a9	0	0	0	0	0	0	-2.13071804871512	1.30289910240161	0	0	0	0	-1.23153333776586	0	0	0	0	0	Biswal_PM2.5_Male
Ncoa4	0	0	0	0	-1.021746157178	0	-0.803615114734669	0.66334715580709	0	0	0	-0.639309353259124	-1.06043855147092	-0.635177365265511	0	0	0	0	Biswal_PM2.5_Male
Armcx4	0	0	0	0	0	0	-0.753466455287221	0.608862317506345	0	0	0	0	-1.10013230071307	-0.699817354445739	0	0	0.80622149752991	0	Biswal_PM2.5_Male
Specc1	0	0	0	0	0	0	-1.14504926274387	0.880022030222493	0	0	0	0.64611326596574	-1.00328312745584	0	0	0	0	0	Biswal_PM2.5_Male
Acsl1	0	0	0	0	0	0	-0.843630922305769	0.642535901410723	0	0	0	0	-0.980015645719636	0	0	0	0	0	Biswal_PM2.5_Male
Rsad2	0	0	0	0	0	0	-1.30756228404134	1.04732432002115	0	0	0	0	-1.38382005939746	0	0	0	0	0	Biswal_PM2.5_Male
Mgll	0	0	0	0	0	0	-1.13439473495975	1.01798820304701	0	0	0	0	-0.76229793139679	0	0	0	0	0.672895844826646	Biswal_PM2.5_Male
Tent5c	0	0	0	0	0	0	-1.12250163592328	1.13317167476247	0	0	0	0	-0.883290716484153	-0.642855186783228	0	0	0	0	Biswal_PM2.5_Male
4930579G24Rik	0	0	0	0	0	0	-0.778636602381646	0.856358432295229	0	0.943904370857387	0	0	0	0	0	-1.38342686362394	0	0	Biswal_PM2.5_Male
Cav1	0	0	0	0	0	0	-0.875148660982881	0.620891387613893	1.3922600236879	0	0	0	0	0	-1.20955723867779	0	0	0	Biswal_PM2.5_Male
Acer2	0	0	-0.746171840669347	0	0	0	-0.686655104142191	0.755339827545784	0	0	0	0	0	0	-1.16383401576204	0	0	0	Biswal_PM2.5_Male
Slc22a3	0	0	0	0	0.646546122827942	0	-0.928495375485208	0.849589425939239	0	0	0	0	0	0	-0.939572713042588	0	0	0	Biswal_PM2.5_Male
Rrm2	0	0	0	0	0	0	-1.41886063714623	0.642290891643124	0	0	0.64339269811854	0	0	0	0	0	0	0.940036286422541	Biswal_PM2.5_Male
S1pr3	0	0	0	0	0	0	-1.20505493648816	0.940703404995354	0	0	0	0	0	0	0	0	0	0.783210551909834	Biswal_PM2.5_Male
Dio1	0	0.592828540092864	0	0	0	0.614498959691776	-1.56234758714239	0.758747691314587	0	0	0	0	0	0	0	0	0.959137271628693	0	Biswal_PM2.5_Male
Tanc2	0	0	0	0	0	0	-0.663367130533755	0.601863295348825	0	0	0	0	0	0	0	0	0.727123871676339	0	Biswal_PM2.5_Male
Kif11	0	0	0	0	0	0	-1.20262632845349	0.595041844484343	0	0	0	0	0	0	0	0	0.99534567743398	0	Biswal_PM2.5_Male
Slc27a2	0	0	0	0	0	0	-1.32559464071022	0.948468871888759	0	0	0	0	0	0	0	0	0.702393500053693	0	Biswal_PM2.5_Male
Prc1	0	0	0	0	0	0	-1.04423723397291	1.02553110323117	0	0	0	0	0	0	0	0	0.854050493742232	0	Biswal_PM2.5_Male
Rhobtb1	0	0	0	0	0	0	-1.04023119624157	1.02987776003466	0	0	0	0	0	0	0	0	0.968064211731807	0	Biswal_PM2.5_Male
Crybg2	0	0.739990320151504	0	0	0	0	-0.975948363516073	1.64727692751259	0	0	0	0	0	0.699103516633002	0	0	0	0	Biswal_PM2.5_Male
Ctif	0	0	-1.17715619949521	0	0	0	-1.08401745613492	1.27917355829322	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Male
Gm43672	0	0	-0.756867139492103	0	0	0	-0.895990418000949	0.801576157890722	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Male
Slc22a23	0	0	-1.02732975703308	0	0	0	-0.968373816276946	0.633955057413782	0	0	0	0	0	0	0	0	0	0	Biswal_PM2.5_Male
Nxpe2	0	0	0	-0.83360119556956	0	0	-1.00975413022108	0.945092103839841	0	0	0	0	0	0	0	0.645050807696537	0	0	Biswal_PM2.5_Male
Plpp3	0	0	0	0	0	0	-1.07649034172807	0.906585301204597	0	0	0	-0.85306669986711	0	0	0	0	0	0	Biswal_PM2.5_Male
