Aylor_TCDD_Female_adult	Bartolomei_BPA10mg_Female_adult	Bartolomei_BPA10ug_Female_adult	Biswal_PM2.5_Female_adult	Dolinoy_Pb_Female_adult	Mutlu_PM2.5_Female_adult	Walker_TBT_Female_adult	Zhibin_As_Female_adult
1500026H17Rik	0	1	0	0	0	0	0	0
1810055G02Rik	0	0	0	1	0	0	0	0
2310010J17Rik	0	0	0	0	0	0	0	1
2310034O05Rik	0	0	0	1	0	0	0	0
2410022M11Rik	0	0	0	1	0	0	0	1
4930579G24Rik	0	0	0	0	0	0	1	0
5830448L01Rik	0	0	0	0	0	0	0	1
AA986860	0	0	0	1	0	0	0	0
Abcb1a	1	0	0	1	0	0	0	0
Acyp2	0	0	0	1	0	0	0	0
Ada	0	0	0	0	0	0	1	0
Adh1	0	0	0	1	0	0	0	0
Aldh1b1	0	0	0	0	0	0	0	1
Alox5ap	0	0	0	1	0	0	0	0
Angpt1	0	0	0	1	0	0	0	0
Anxa11	0	0	0	0	1	0	0	0
Aoah	0	0	0	0	0	0	0	1
Arhgap18	0	0	0	1	0	0	0	0
Arhgap24	0	0	0	1	0	0	0	0
Atp5e	0	0	0	0	0	0	0	1
AU041133	0	0	0	1	0	0	0	0
Baiap2	0	0	0	0	0	0	0	1
Bhlhb9	0	0	0	1	0	0	0	0
Cald1	0	0	1	0	0	0	0	0
Cbarp	0	0	0	1	0	0	0	0
Ccr2	0	0	0	0	0	0	1	1
Cd180	0	0	0	0	0	0	1	0
Cd24a	0	0	0	1	0	0	1	0
Cd36	0	0	0	1	0	0	1	0
Cd74	0	0	0	1	0	0	0	0
Cd9	0	0	0	1	0	0	0	0
Cdk6	0	0	0	0	0	0	1	0
Cerkl	0	0	0	1	0	0	0	0
Chac1	0	0	1	0	0	0	0	0
Chek2	0	0	0	1	0	0	0	0
Chkb	0	1	0	0	0	0	0	0
Churc1	0	0	0	0	0	0	0	1
Cirbp	0	0	0	0	0	0	0	1
Clec4a2	0	0	0	0	0	0	0	1
Clec4a3	0	0	0	0	0	0	0	1
Clu	0	0	0	1	0	0	0	0
Col5a3	0	0	0	0	0	0	1	0
Crispld2	0	0	0	0	0	0	1	0
Cuedc1	0	0	0	1	0	0	0	0
Cyb5a	0	0	0	1	0	0	0	0
Cyp2b10	0	0	0	1	0	0	0	0
Dcxr	0	0	0	0	0	0	0	1
Dhrs9	0	0	1	0	0	0	0	0
Dntt	0	0	0	1	0	0	0	0
Dock6	0	0	0	0	0	0	0	1
Ect2	0	0	0	1	0	0	0	0
Emp1	0	0	0	0	0	0	0	1
Endog	0	0	0	0	0	0	0	1
Epcam	0	0	0	0	0	0	1	0
Epha2	0	1	0	0	0	0	0	0
Ephx1	0	0	0	1	0	0	0	0
Esam	0	0	1	0	0	0	0	0
Etfb	0	1	0	0	0	0	0	0
Extl1	0	0	1	1	0	0	0	0
Fam213b	0	0	1	0	0	0	0	0
Fam241a	0	0	0	0	0	0	0	1
Fau	0	0	0	0	0	0	0	1
Fdps	0	0	0	1	0	0	0	0
Fmo5	0	0	0	1	0	0	0	0
Fpr1	0	0	1	0	0	0	0	0
Fus	0	0	0	0	0	0	1	0
Gbp8	1	0	0	0	0	0	0	0
Gclc	0	0	0	1	0	0	0	0
Gm10076	0	1	0	0	0	0	0	0
Gm10123	0	0	0	0	0	0	1	1
Gm10275	0	1	0	0	0	0	1	0
Gm10288	0	1	0	0	0	0	0	0
Gm10443	0	1	0	0	0	0	0	0
Gm10925	0	0	0	1	0	0	0	0
Gm11478	0	1	0	0	0	0	0	0
Gm12481	0	0	0	0	1	0	0	0
Gm13340	0	0	1	1	0	0	0	0
Gm13341	0	0	1	1	0	0	0	0
Gm14303	0	1	0	0	0	0	0	0
Gm15427	0	0	0	0	1	0	0	0
Gm15459	0	0	0	0	0	0	1	0
Gm15772	0	0	0	0	0	0	1	1
Gm17586	0	0	0	1	0	0	0	0
Gm28437	0	0	0	1	0	0	0	0
Gm28439	0	0	1	1	0	0	0	0
Gm28661	0	0	0	1	0	0	0	0
Gm29216	0	0	0	1	0	0	1	0
Gm3699	0	0	0	0	0	0	1	0
Gm4149	0	1	0	0	0	0	0	0
Gm4332	0	0	0	0	0	0	1	1
Gm43672	0	0	0	1	0	0	0	1
Gm45716	0	0	0	0	0	0	0	1
Gm47283	0	0	0	0	0	0	0	1
Gm6863	0	1	0	0	0	0	0	0
Gm9385	0	1	0	0	0	0	0	0
Gm9843	0	1	0	0	0	0	0	1
Golph3l	0	0	0	1	0	0	0	0
Gpam	0	0	0	0	1	0	0	0
Gpx4-ps2	0	0	0	0	1	0	0	1
