Aylor_TCDD_Male_adult	Bartolomei_BPA10mg_Male_adult	Bartolomei_BPA10ug_Male_adult	Biswal_PM2.5_Male_adult	Dolinoy_DEHP_Male_adult	Dolinoy_Pb_Male_adult	Mutlu_PM2.5_Male_adult	Walker_TBT_Male_adult	Zhibin_As_Male_adult
2310001H17Rik	0	0	0	1	0	0	0	0	0
2310039H08Rik	0	0	0	0	0	0	1	0	0
4930579G24Rik	0	0	0	1	0	0	0	0	0
A230072C01Rik	0	0	0	0	0	0	0	1	0
Aamdc	0	0	0	1	0	0	0	0	0
Aatk	0	0	0	1	0	0	0	0	0
Abca5	0	0	0	1	0	0	0	0	0
Abca6	0	0	0	1	0	0	0	0	0
Abcb4	0	0	0	1	0	0	0	0	0
Abhd1	0	0	1	0	0	0	0	0	0
Abhd17a	0	0	0	1	0	0	0	0	0
Abhd17b	0	0	0	0	0	0	0	0	1
AC102496.1	0	0	0	1	0	0	0	0	0
AC163032.1	0	0	0	0	0	0	0	1	0
Acer2	0	0	0	1	0	0	0	0	0
Acmsd	0	0	0	0	0	0	1	0	0
Acsl1	0	0	0	1	0	0	0	0	0
Adamdec1	0	0	0	0	0	0	0	1	0
Adap2	0	0	0	1	0	0	0	0	0
Ahnak	0	0	0	1	0	0	0	0	0
Ahr	0	0	0	1	0	0	0	0	0
AI463229	0	0	0	1	0	0	0	0	0
Aif1	0	0	0	1	0	0	0	0	0
Aldh1a1	0	0	0	1	0	0	0	0	0
Aldh1b1	0	0	0	1	0	0	0	0	0
Angptl4	0	0	0	1	0	0	0	0	0
Ankrd54	0	0	0	1	0	0	0	0	0
Ap1s1	0	0	0	1	0	0	0	0	0
Aph1b	0	0	0	1	0	0	0	0	0
Aph1c	0	0	0	1	0	0	0	0	0
Apobec1	0	0	0	1	0	0	0	0	0
Ar	0	0	0	1	0	0	0	0	0
Arhgap26	0	0	0	1	0	0	0	0	0
Arhgap6	0	0	0	0	0	0	0	1	0
Arl4a	0	0	0	1	0	0	0	0	0
Armcx4	0	0	0	1	0	0	1	0	0
Asns	0	0	0	1	0	0	0	0	0
Atat1	0	0	0	0	0	0	0	0	1
Atg9a	0	0	0	0	0	1	0	0	0
Atp11a	0	0	0	0	0	0	1	1	0
Atp5e	0	0	0	0	0	0	0	0	1
Atp8b4	0	0	0	1	0	0	0	0	0
Bc1	0	0	0	1	0	0	0	0	0
Birc5	0	0	0	1	0	0	0	0	0
C1qb	0	0	0	1	0	0	0	0	0
C5ar1	0	0	0	1	0	0	0	1	0
Calhm6	0	0	0	0	0	0	0	0	1
Camk1	0	0	0	1	0	0	0	0	0
Cav1	0	0	0	1	0	0	0	0	0
Cavin1	0	0	0	1	0	0	0	0	0
Ccdc15	0	0	0	1	0	0	0	0	0
Ccdc34	0	1	0	0	0	0	0	0	0
